Pagetype,Assignee,ilanTarihi,kategori,marka,model,il,galeri_ID,ilanNo,photoCount,Fiyat,Detail_ContactNumberCount ,Detail_MessageContactStatus,Detail_850Status,Detail_PhoneContactStatus,Detail_Breadcrumb,Detail_CarSegment,ilan_no,ilan_tarihi,seri,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ort._yakit_tuketimi,yakit_deposu,boya-degisen,takasa_uygun,kimden,Etiket,motor_gucu_(kw),batarya_voltaji_(v),menzil,sarj_suresi,pil_kapasitesi_(kwh),plaka_uyrugu
Detail,7442395,20240318,Otomobil,Subaru,2.0 WRX,Ankara,7517890,24676177,0,740000,1,1,1,1,Otomobil / Subaru / Impreza / 2.0 / WRX / ,C,24676177,18 Mart 2024,Impreza,2003,206.000 km,Düz,Benzin,Sedan,Siyah,1994 cc,265 hp,4WD (Sürekli),İkinci El,"11,1 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,,,,,,
Detail,4325710,20240320,Otomobil,Subaru,2.5 WRX STi,Ankara,4356636,20746552,23,1220000,2,1,0,1,Otomobil / Subaru / Impreza / 2.5 / WRX STi / ,C,20746552,20 Mart 2024,Impreza,2007,7.400 km,Düz,Benzin,Sedan,Beyaz,2457 cc,280 hp,4WD (Sürekli),İkinci El,"10,9 lt",60 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,Düşük Km,,,,,,
Detail,9553249,20240228,Otomobil,Subaru,1.5 Active,Bingöl,9627589,24635707,8,340000,1,1,0,1,Otomobil / Subaru / Impreza / 1.5 / Active / ,C,24635707,28 Şubat 2024,Impreza,2007,338.000 km,Düz,LPG & Benzin,Sedan,Bordo,1498 cc,105 hp,4WD (Sürekli),İkinci El,"7,9 lt",60 lt,"3 değişen, 6 boyalı",Takasa Uygun,Sahibinden,,,,,,,
Detail,5241541,20240330,Otomobil,Subaru,2.0 GL,Sivas,5309783,24186577,9,350000,1,1,0,1,Otomobil / Subaru / Legacy / 2.0 / GL / ,E,24186577,30 Mart 2024,Legacy,1997,197.000 km,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1994 cc,115 hp,4WD (Sürekli),İkinci El,,60 lt,12 boyalı,,Sahibinden,Sunroof`lu,,,,,,
Detail,4268403,20240206,Otomobil,Subaru,1.6 GT-S CVT,İzmir,4299364,24445547,15,1500000,1,1,0,1,Otomobil / Subaru / Levorg / 1.6 GT-S CVT / ,D,24445547,06 Şubat 2024,Levorg,2018,49.500 km,Otomatik,Benzin,Station wagon,Lacivert,1600 cc,170 hp,4WD (Sürekli),İkinci El,"7,1 lt",60 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,Sunroof`lu,,,,,,
Detail,12313,20240307,Otomobil,Subaru,2.0R Premium,İstanbul,482730,24468940,21,1995000,1,1,1,1,Otomobil / Subaru / BRZ / 2.0R Premium / ,E,24468940,07 Mart 2024,BRZ,2018,48.000 km,Otomatik,Benzin,Coupe,Kırmızı,1998 cc,200 hp,Arkadan İtiş,İkinci El,"7,1 lt",50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden,,,,,,,
Detail,6433873,20240324,Otomobil,Subaru,1.5 AWD,Ankara,6509929,24900388,4,615000,1,1,0,1,Otomobil / Subaru / Impreza / 1.5 / AWD / ,C,24900388,24 Mart 2024,Impreza,2011,180.000 km,Otomatik,LPG & Benzin,Hatchback/5,Gri,1498 cc,107 hp,Önden Çekiş,İkinci El,"7,5 lt",60 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,,,,,,
Detail,9507531,20240212,Otomobil,Subaru,2.0 Active,Düzce,9581917,24498453,11,630000,1,1,0,1,Otomobil / Subaru / Impreza / 2.0 / Active / ,C,24498453,12 Şubat 2024,Impreza,2006,318.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,1994 cc,160 hp,4WD (Sürekli),İkinci El,"8,7 lt",60 lt,Belirtilmemiş,,Sahibinden,,,,,,,
Detail,5323615,20240319,Otomobil,Subaru,1.6 GT-S CVT,Zonguldak,5394396,24843702,0,1290000,1,1,1,1,Otomobil / Subaru / Levorg / 1.6 GT-S CVT / ,D,24843702,19 Mart 2024,Levorg,2016,75.000 km,Otomatik,Benzin,Station wagon,Füme,1600 cc,170 hp,4WD (Sürekli),İkinci El,"7,1 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,Sunroof`lu,,,,,,
Detail,9521567,20240216,Otomobil,Subaru,2.0 GL,Tekirdağ,9595940,24537922,15,370000,1,1,0,1,Otomobil / Subaru / Impreza / 2.0 / GL / ,C,24537922,16 Şubat 2024,Impreza,2000,342.000 km,Düz,LPG & Benzin,Sedan,Mavi,1994 cc,125 hp,4WD (Sürekli),İkinci El,9 lt,50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,,,,,,
